難易度,体験,入塾,満足,経理,総合スコア,ランク,退塾数,動員合計,入退差,最終デッキ,削除カード
pro,34,28,27,15,10,A+,0,34,28,"私も載ったよ！成績UP掲示, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 保護者説明会, 校門前ビラ配り, テスト予想問題的中！, 経理精算の基本, 経理精算の基本","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 元塾生に講習案内, 教室清掃, 褒めて励ます授業"
pro,35,35,26,17,11,A+,0,35,35,"未入金家庭へ電話, 元塾生に講習案内, テレビCM放映, テスト予想問題的中！, 宿題チェック, プロジェクター授業, 設問の急所は？教材研究","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 機材故障は本部に相談, 提出書類ファイリング, 締切間近の書類リマインド"
pro,37,32,20,13,7,B+,2,37,30,"宿題チェック, チラシ折り, 宿題チェック, 季節のデコレーション, 事務リーダー1日派遣, 学力確認＆向上 公開模試, 機材故障は本部に相談, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 機材故障は本部に相談"
pro,43,20,39,21,11,A+,0,43,20,"私も載ったよ！成績UP掲示, 教室清掃, 学力確認＆向上 公開模試, 入塾手続きのご案内, テレビCM放映, 提出書類ファイリング, 私も載ったよ！成績UP掲示, チラシ折り","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 校門前ビラ配り"
fresh,29,19,27,12,7,A,3,29,16,"備品注文, 経理精算の基本, 保護者面談, 教室清掃, 生徒面談の基本, 入塾後の未来へ 進路説明会, 校門前ビラ配り, 差し入れ経費精算","質問対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 努力の結晶 合格実績掲示, 補習大会, 心を掴む1日見学"
pro,43,24,15,30,9,A,0,43,24,"できるまで居残り！, 友人紹介, 入塾手続きのご案内, 学力確認＆向上 公開模試, 締切間近の書類リマインド, 締切間近の書類リマインド, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 休み時間トーク, 備品注文, チラシ折り, 今だけ！体験生特典"
pro,38,36,19,25,10,A+,0,38,36,"学力確認＆向上 公開模試, 笑顔伝わる教室通信, 学力確認＆向上 公開模試, チラシ折り, 笑顔伝わる教室通信, 日々の出迎え, 経理精算の基本, 入塾手続きのご案内","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 元塾生に講習案内, 教室清掃, 経理精算の基本"
fresh,26,16,42,17,8.7,S,0,26,16,"学力確認＆向上 公開模試, 苦手発見！質問対応, できるまで居残り！, 備品注文, 休み時間トーク, テレビCM放映, 私も載ったよ！成績UP掲示, 教室清掃","問合対応の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 質問対応の基本, ポスティング"
pro,36,31,35,15,11,A+,0,36,31,"未入金家庭へ電話, 入塾手続きのご案内, 宿題チェック, 笑顔伝わる教室通信, 入塾手続きのご案内, 卒業生からの手紙, 学力確認＆向上 公開模試, 提出書類ファイリング, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, 生徒面談の基本, 生徒面談の基本"
fresh,37,17,21,15,8.9,S,0,37,17,"締切間近の書類リマインド, 機材故障は本部に相談, 校門前ビラ配り, 教室清掃, 努力の結晶 合格実績掲示, 学力確認＆向上 公開模試, 苦手発見！質問対応, 質問対応の基本","問合対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 元塾生に講習案内, 経理精算の基本, 元塾生に講習案内"
pro,30,30,30,17,10,A+,0,30,30,"校門前ビラ配り, チラシ折り, 学力確認＆向上 公開模試, 笑顔伝わる教室通信, 経理精算の基本, プロジェクター授業, 苦手発見！質問対応, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 元塾生に講習案内, スタンプ帳キャンペーン, 問合対応の基本"
pro,41,40,12,22,7,B+,3,41,37,"備品注文, 未入金家庭へ電話, 機材故障は本部に相談, プロジェクター授業, 学力確認＆向上 公開模試, チラシ折り, 私も載ったよ！成績UP掲示, 振込用紙印刷","生徒面談の基本, 生徒面談の基本, 質問対応の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 保護者説明会, 経理精算の基本"
pro,36,35,16,21,10,A+,0,36,35,"保護者説明会, 学力確認＆向上 公開模試, 季節のデコレーション, プロジェクター授業, チラシ折り, 笑顔伝わる教室通信, 未入金家庭へ電話","質問対応の基本, 生徒面談の基本, 生徒面談の基本, 保護者面談, 問合対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 振込用紙印刷"
pro,40,40,18,18,12,S,0,40,40,"私も載ったよ！成績UP掲示, 赤字覚悟！？ 大抽選会, 未入金家庭へ電話, 宿題チェック, 今だけ！体験生特典, 校門前ビラ配り, できるまで居残り！, 入塾手続きのご案内","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 日々の出迎え"
pro,40,40,24,16,12,S,0,40,40,"苦手発見！質問対応, 学力確認＆向上 公開模試, 学力確認＆向上 公開模試, できるまで居残り！, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 校門前ビラ配り, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, チラシ折り, 保護者面談, 締切間近の書類リマインド"
pro,41,41,25,23,13,S,0,41,41,"入塾後の未来へ 進路説明会, スタンプ帳キャンペーン, 提出書類ファイリング, できるまで居残り！, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, チラシ折り, 友人紹介, 休み時間トーク, 経理精算の基本, 季節のデコレーション, 学力確認＆向上 公開模試"
pro,39,36,17,28,10,A+,0,39,36,"今だけ！体験生特典, 学力確認＆向上 公開模試, 未入金家庭へ電話, 振込用紙印刷, 笑顔伝わる教室通信, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 校門前ビラ配り, 振込用紙印刷, 締切間近の書類リマインド"
pro,34,33,17,34,10,A+,0,34,33,"友人紹介, 友人紹介, 入塾手続きのご案内, 振込用紙印刷, 今だけ！体験生特典, 今だけ！体験生特典, できるまで居残り！, 生徒面談の基本","質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 提出書類ファイリング, 提出書類ファイリング"
pro,32,30,25,16,10,A+,0,32,30,"入塾手続きのご案内, 日々の出迎え, 学力確認＆向上 公開模試, テスト予想問題的中！, できるまで居残り！, 提出書類ファイリング, 私も載ったよ！成績UP掲示, テスト予想問題的中！, 友人紹介, プロジェクター授業, 休み時間トーク","質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 設問の急所は？教材研究, 生徒面談の基本"
pro,37,37,19,17,10,A+,0,37,37,"進学相談フェア出展, 宿題チェック, 保護者説明会, 学力確認＆向上 公開模試, テスト予想問題的中！, 私も載ったよ！成績UP掲示, ごほうび差し入れスイーツ, 経理精算の基本, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 事務リーダー1日派遣, 生徒面談の基本, 宿題チェック, 休み時間トーク"
pro,39,38,25,12,7,B+,3,39,35,"プロジェクター授業, 日々の出迎え, 振込用紙印刷, 経理精算の基本, 保護者説明会, 今だけ！体験生特典, 苦手発見！質問対応, 笑顔伝わる教室通信","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, できるまで居残り！, 経理精算の基本"
pro,42,35,33,16,12,S,0,42,35,"私も載ったよ！成績UP掲示, プロジェクター授業, 季節のデコレーション, 入塾手続きのご案内, チラシ折り, 学力確認＆向上 公開模試, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 校門前ビラ配り, 宿題チェック"
pro,39,35,26,16,11,A+,0,39,35,"未入金家庭へ電話, 締切間近の書類リマインド, 卒業生からの手紙, 教室清掃, 宿題チェック, 学力確認＆向上 公開模試, 休み時間トーク, 私も載ったよ！成績UP掲示, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 保護者面談"
pro,32,26,34,28,10,A+,0,32,26,"学力確認＆向上 公開模試, 宿題チェック, テレビCM放映, 機材故障は本部に相談, 校門前ビラ配り, 提出書類ファイリング, 機材故障は本部に相談, 入塾手続きのご案内","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 私も載ったよ！成績UP掲示"
pro,54,17,17,32,8,A,0,54,17,"赤字覚悟！？ 大抽選会, 提出書類ファイリング, 友人紹介, できるまで居残り！, 今だけ！体験生特典, チラシ折り, 元塾生に講習案内, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 機材故障は本部に相談"
pro,27,27,27,28,10,A+,0,27,27,"兄弟紹介, 学力確認＆向上 公開模試, 機材故障は本部に相談, 入塾後の未来へ 進路説明会, 入塾手続きのご案内, チラシ折り, 褒めて励ます授業, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 元塾生に講習案内, 生徒面談の基本"
pro,34,31,35,14,10,A+,1,34,30,"今だけ！体験生特典, 入塾後の未来へ 進路説明会, 振込用紙印刷, 教室清掃","生徒面談の基本, 生徒面談の基本, 質問対応の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, 褒めて励ます授業, 経理精算の基本, 私も載ったよ！成績UP掲示, 友人紹介, 季節のデコレーション"
pro,48,21,22,28,9,A,0,48,21,"チラシ折り, 苦手発見！質問対応, テスト予想問題的中！, 今だけ！体験生特典, テレビCM放映, チラシ折り, 友人紹介, 日々の出迎え","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 未入金家庭へ電話"
pro,50,50,16,15,14,S+,0,50,50,"入塾後の未来へ 進路説明会, 宿題チェック, チラシ折り, 保護者面談, 締切間近の書類リマインド, 入塾手続きのご案内, 学力確認＆向上 公開模試, 笑顔伝わる教室通信","経理精算の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 質問対応の基本, できるまで居残り！"
pro,25,23,44,13,8,A,2,25,21,"経理精算の基本, 入塾後の未来へ 進路説明会, 兄弟紹介, 今だけ！体験生特典, 褒めて励ます授業, 日々の出迎え, 設問の急所は？教材研究, 保護者面談","生徒面談の基本, 質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 私も載ったよ！成績UP掲示, 私も載ったよ！成績UP掲示"
pro,35,25,18,30,8,A,0,35,25,"入塾後の未来へ 進路説明会, 私も載ったよ！成績UP掲示, 友人紹介, 学力確認＆向上 公開模試, 機材故障は本部に相談, 提出書類ファイリング, チラシ折り, 入塾手続きのご案内","質問対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 校門前ビラ配り"
pro,28,26,32,20,10,A+,0,28,26,"提出書類ファイリング, 友人紹介, 未入金家庭へ電話, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 褒めて励ます授業, 保護者面談, 機材故障は本部に相談","経理精算の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, できるまで居残り！"
pro,31,15,26,43,6,B,0,31,15,"ごほうび差し入れスイーツ, 笑顔伝わる教室通信, 提出書類ファイリング, 友人紹介, 機材故障は本部に相談, 今だけ！体験生特典, 努力の結晶 合格実績掲示, 振込用紙印刷","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 保護者面談"
pro,34,28,34,25,10,A+,0,34,28,"入塾後の未来へ 進路説明会, 入塾手続きのご案内, 学力確認＆向上 公開模試, 提出書類ファイリング, 苦手発見！質問対応, チラシ折り, 私も載ったよ！成績UP掲示, 機材故障は本部に相談","経理精算の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 保護者面談"
pro,34,33,36,15,12,S,0,34,33,"進学相談フェア出展, 学力確認＆向上 公開模試, テスト予想問題的中！, 提出書類ファイリング","問合対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 振込用紙印刷, 校門前ビラ配り, 入塾後の未来へ 進路説明会, 友人紹介, 季節のデコレーション"
pro,25,25,28,25,9,A,0,25,25,"機材故障は本部に相談, 入塾後の未来へ 進路説明会, 保護者面談, 学力確認＆向上 公開模試, できるまで居残り！, 兄弟紹介, 笑顔伝わる教室通信, 備品注文","経理精算の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 日々の授業"
pro,39,34,23,15,10,A+,0,39,34,"私も載ったよ！成績UP掲示, 私も載ったよ！成績UP掲示, 機材故障は本部に相談, 日々の出迎え, 友人紹介, 今だけ！体験生特典, 学力確認＆向上 公開模試, 宿題チェック","質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 備品注文, 問合対応の基本, 生徒面談の基本"
pro,32,23,30,24,9,A,0,32,23,"今だけ！体験生特典, 備品注文, 教室清掃, 校門前ビラ配り, 入塾後の未来へ 進路説明会, チラシ折り, 友人紹介, 私も載ったよ！成績UP掲示","質問対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 機材故障は本部に相談"
pro,33,30,21,20,9,A,0,33,30,"チラシ折り, 保護者面談, 入塾後の未来へ 進路説明会, 友人紹介, テスト予想問題的中！, 努力の結晶 合格実績掲示, 苦手発見！質問対応, 入塾手続きのご案内","問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, 質問対応の基本, 元塾生に講習案内"
pro,38,26,32,21,10,A+,0,38,26,"提出書類ファイリング, 校門前ビラ配り, 入塾手続きのご案内, 学力確認＆向上 公開模試, 学力確認＆向上 公開模試, 宿題チェック, 私も載ったよ！成績UP掲示, 笑顔伝わる教室通信","質問対応の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 保護者説明会, 経理精算の基本"
pro,40,34,26,17,12,S,0,40,34,"笑顔伝わる教室通信, 校門前ビラ配り, 赤字覚悟！？ 大抽選会, 機材故障は本部に相談, 友人紹介, 学力確認＆向上 公開模試, 保護者面談, 振込用紙印刷","質問対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, できるまで居残り！"
pro,40,30,21,17,10,A+,0,40,30,"テスト予想問題的中！, 日々の出迎え, 努力の結晶 合格実績掲示, 経理精算の基本, 入塾後の未来へ 進路説明会, 提出書類ファイリング, 兄弟紹介, できるまで居残り！","質問対応の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, チラシ折り, 兄弟紹介"
pro,34,29,27,19,10,A+,0,34,29,"機材故障は本部に相談, 締切間近の書類リマインド, 保護者面談, 学力確認＆向上 公開模試, チラシ折り, 苦手発見！質問対応, 経理精算の基本","経理精算の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 事務リーダー1日派遣, 校門前ビラ配り, 質問対応の基本, 生徒面談の基本, 教室清掃"
pro,34,22,40,13,8,A,2,34,20,"未入金家庭へ電話, 入塾手続きのご案内, 入塾後の未来へ 進路説明会, 教室清掃, テレビCM放映, 宿題チェック, 季節のデコレーション, 未入金家庭へ電話","生徒面談の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 提出書類ファイリング, 締切間近の書類リマインド, 休み時間トーク"
pro,49,41,16,15,12,S,0,49,41,"私も載ったよ！成績UP掲示, 友人紹介, 日々の出迎え, チラシ折り, 教室清掃, 今だけ！体験生特典, 学力確認＆向上 公開模試, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 提出書類ファイリング"
pro,68,9,20,23,6,B,0,68,9,"今だけ！体験生特典, 苦手発見！質問対応, 宿題チェック, 苦手発見！質問対応, 友人紹介, チラシ折り, 努力の結晶 合格実績掲示, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 校門前ビラ配り"
pro,50,43,21,23,13,S,0,50,43,"学力確認＆向上 公開模試, 学力確認＆向上 公開模試, 提出書類ファイリング, 笑顔伝わる教室通信, 宿題チェック","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 振込用紙印刷, 季節のデコレーション, 教室清掃, 機材故障は本部に相談"
pro,36,36,31,22,11,A+,0,36,36,"学力確認＆向上 公開模試, 生徒面談の基本, 機材故障は本部に相談, 校門前ビラ配り, 学力確認＆向上 公開模試, 宿題チェック, 私も載ったよ！成績UP掲示, 未入金家庭へ電話","質問対応の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, できるまで居残り！, 経理精算の基本, 振込用紙印刷"
pro,35,33,20,18,10,A+,0,35,33,"学力確認＆向上 公開模試, 未入金家庭へ電話, プロジェクター授業, チラシ折り, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 宿題チェック, 経理精算の基本, 季節のデコレーション, 保護者面談, 締切間近の書類リマインド"
pro,42,30,20,28,10,A+,0,42,30,"学力確認＆向上 公開模試, 兄弟紹介, 学力確認＆向上 公開模試, 教室清掃, チラシ折り, 宿題チェック, 機材故障は本部に相談, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 元塾生に講習案内"
pro,42,34,22,16,11,A+,0,42,34,"締切間近の書類リマインド, 振込用紙印刷, 笑顔伝わる教室通信, チラシ折り, 褒めて励ます授業, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 未入金家庭へ電話","質問対応の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 進学相談フェア出展"
fresh,46,28,20,9,4,C,6,46,22,"日々の授業, 学力確認＆向上 公開模試, 兄弟紹介, 心を掴む1日見学, 休み時間トーク, 兄弟紹介, 保護者面談, 差し入れ経費精算","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 質問対応の基本, 問合対応の基本, 今だけ！体験生特典, 問合対応の基本"
pro,41,34,29,22,12,S,0,41,34,"チラシ折り, 私も載ったよ！成績UP掲示, 教室清掃, 今だけ！体験生特典, 入塾手続きのご案内, チラシ折り, 学力確認＆向上 公開模試, 入塾手続きのご案内","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 校門前ビラ配り"
pro,39,22,31,28,9,A,0,39,22,"学力確認＆向上 公開模試, できるまで居残り！, 今だけ！体験生特典, できるまで居残り！, 提出書類ファイリング, 入塾手続きのご案内, 校門前ビラ配り, 日々の出迎え","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 機材故障は本部に相談, 生徒面談の基本"
pro,48,41,21,16,12,S,0,48,41,"振込用紙印刷, プロジェクター授業, 今だけ！体験生特典, チラシ折り, 機材故障は本部に相談, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 保護者面談, 季節のデコレーション, テスト予想問題的中！"
pro,46,45,15,17,12,S,0,46,45,"今だけ！体験生特典, 備品注文, テスト予想問題的中！, 私も載ったよ！成績UP掲示, 私も載ったよ！成績UP掲示, 学力確認＆向上 公開模試, 振込用紙印刷, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, チラシ折り"
pro,37,30,18,21,9,A,0,37,30,"私も載ったよ！成績UP掲示, 私も載ったよ！成績UP掲示, 提出書類ファイリング, 教室清掃, 校門前ビラ配り, プロジェクター授業, 学力確認＆向上 公開模試, 校門前ビラ配り","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 未入金家庭へ電話"
pro,53,36,27,11,7,B+,4,53,32,"入塾手続きのご案内, チラシ折り, プロジェクター授業, 教室清掃, 苦手発見！質問対応, 今だけ！体験生特典, 私も載ったよ！成績UP掲示, 備品注文","質問対応の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 質問対応の基本, 校門前ビラ配り"
fresh,20,19,23,12,7,A,3,20,16,"プロジェクター授業, 兄弟紹介, 未入金家庭へ電話, 休み時間トーク, 学力確認＆向上 公開模試, 元塾生に講習案内, 苦手発見！質問対応, 機材故障は本部に相談","問合対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, ポスティング, 経理精算の基本"
pro,26,18,27,17,8,A,0,26,18,"プロジェクター授業, 教室清掃, 褒めて励ます授業, スタンプ帳キャンペーン, 笑顔伝わる教室通信, 入塾後の未来へ 進路説明会, 進学相談フェア出展, ごほうび差し入れスイーツ, 提出書類ファイリング","生徒面談の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 休み時間トーク"
pro,41,36,33,16,12,S,0,41,36,"チラシ折り, 私も載ったよ！成績UP掲示, 学力確認＆向上 公開模試, 経理精算の基本, 学力確認＆向上 公開模試, 機材故障は本部に相談, 経理精算の基本, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, 補習大会, 保護者面談"
pro,41,41,11,19,5,B,4,41,37,"学力確認＆向上 公開模試, 未入金家庭へ電話, 学力確認＆向上 公開模試, 笑顔伝わる教室通信, 生徒面談の基本, 振込用紙印刷, 振込用紙印刷, 入塾手続きのご案内","質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 元塾生に講習案内, 生徒面談の基本, スタンプ帳キャンペーン, 問合対応の基本"
pro,40,34,25,18,12,S,0,40,34,"努力の結晶 合格実績掲示, 入塾後の未来へ 進路説明会, 機材故障は本部に相談, 入塾手続きのご案内","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 保護者面談, 元塾生に講習案内, 季節のデコレーション, 兄弟紹介, 宿題チェック"
pro,36,32,22,15,10,A+,0,36,32,"保護者面談, 振込用紙印刷, できるまで居残り！, 入塾手続きのご案内, 赤字覚悟！？ 大抽選会, 今だけ！体験生特典, 友人紹介, 校門前ビラ配り","質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 未入金家庭へ電話"
pro,29,29,30,18,10,A+,0,29,29,"兄弟紹介, 学力確認＆向上 公開模試, テレビCM放映, 校門前ビラ配り, 振込用紙印刷, 保護者面談, テスト予想問題的中！, 未入金家庭へ電話","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 問合対応の基本, できるまで居残り！"
pro,48,23,23,12,5,B,3,48,20,"兄弟紹介, チラシ折り, 学力確認＆向上 公開模試, 入塾後の未来へ 進路説明会, 日々の出迎え, 締切間近の書類リマインド, 入塾手続きのご案内","経理精算の基本, 経理精算の基本, 質問対応の基本, 質問対応の基本, 補習大会, 問合対応の基本, 元塾生に講習案内, 生徒面談の基本, 問合対応の基本, 生徒面談の基本"
pro,32,26,28,18,10,A+,0,32,26,"振込用紙印刷, 備品注文, 校門前ビラ配り, テスト予想問題的中！, できるまで居残り！, 今だけ！体験生特典, プロジェクター授業, 私も載ったよ！成績UP掲示","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 機材故障は本部に相談, 問合対応の基本, 問合対応の基本"
pro,44,36,36,16,13,S,0,44,36,"季節のデコレーション, 今だけ！体験生特典, 日々の出迎え, 学力確認＆向上 公開模試, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 元塾生に講習案内, 経理精算の基本, 元塾生に講習案内, 問合対応の基本, 締切間近の書類リマインド, テスト予想問題的中！"
pro,41,37,27,15,12,S,0,41,37,"学力確認＆向上 公開模試, 締切間近の書類リマインド, 入塾手続きのご案内","質問対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 備品注文, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 努力の結晶 合格実績掲示, 保護者面談, 宿題チェック, 友人紹介, 友人紹介"
pro,34,22,24,15,8,A,0,34,22,"補習大会, 元塾生に講習案内, 経理精算の基本, 未入金家庭へ電話, テスト予想問題的中！, 学力確認＆向上 公開模試, 進学相談フェア出展, 休み時間トーク, 笑顔伝わる教室通信","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 保護者面談, 卒業生からの手紙"
